2020/05/18 12:46:44 [error] 8#8: *16 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:46:45 [crit] 8#8: *16 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:46:45 [error] 8#8: *16 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:47:36 [crit] 8#8: *22 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:47:36 [error] 8#8: *22 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:47:37 [crit] 8#8: *22 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:47:37 [error] 8#8: *22 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:47:39 [crit] 8#8: *22 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:47:39 [error] 8#8: *22 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:47:41 [crit] 8#8: *22 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
